Date,Open,High,Low,Close,Volume
12/19/2017,508.725006,508.975006,499.774994,460.884064,7118898
12/20/2017,502.549988,509.299988,500.5,466.346954,4186326
12/21/2017,507.399994,514.474976,499.200012,469.193237,11059162
12/22/2017,508,522.400024,508,477.135132,12906940
12/26/2017,515,520.75,511.5,475.413635,10808906
12/27/2017,514,519.549988,513.700012,474.793915,6970172
12/28/2017,515,520,511.899994,474.334808,8433472
12/29/2017,515.049988,524.400024,515,478.374695,6601768
1/1/2018,518.849976,522.25,515,474.472595,5431340
1/2/2018,518.625,521,511.5,472.705139,6112248
1/3/2018,514.25,515.799988,509.299988,468.848938,6846552
1/4/2018,510.5,510.5,504.799988,466.140472,8947614
1/5/2018,507.649994,513.200012,503,464.579559,11025976
1/8/2018,512.450012,519.5,510.024994,475.620239,5594690
1/9/2018,520,522.450012,514.450012,478.053345,9948236
1/10/2018,523.400024,528,516.525024,483.05719,9468634
1/11/2018,527.625,541.700012,527.625,493.868317,16775298
1/12/2018,542.900024,542.950012,535.275024,495.084808,18016528
1/15/2018,540,546.474976,532.549988,496.324249,10649250
1/16/2018,540.625,567.400024,540.625,515.467651,22646966
1/17/2018,562.424988,580.900024,561.5,528.895325,26154088
1/18/2018,572.5,582.450012,566.049988,529.170898,13204970
1/19/2018,572.5,573.950012,568,524.924255,5988278
1/22/2018,566.075012,578.474976,566,527.931396,9650214
1/23/2018,577.5,594,577.5,540.372131,15403796
1/24/2018,587.400024,610.525024,583.75,544.365967,20604718
1/25/2018,591,591.700012,581.125,539.591675,13548914
1/29/2018,583.275024,598.125,582.599976,543.034729,10823002
1/30/2018,589.450012,591.549988,581.349976,537.411133,8628312
1/31/2018,579.575012,583.299988,571.075012,528.046021,9213698
2/1/2018,571.099976,578.950012,559.275024,525.452332,13005454
2/2/2018,567.625,581.450012,565.049988,524.832581,10244486
2/5/2018,570,577.424988,567.924988,522.514282,9860220
2/6/2018,549.974976,564.174988,547.575012,508.535583,10552078
2/7/2018,558,562.400024,551.775024,509.132477,8342056
2/8/2018,561.400024,573.200012,558.275024,520.700928,8807244
2/9/2018,559,560.150024,553,509.178284,4382690
2/12/2018,557.400024,560.299988,548.900024,506.263214,6291972
2/14/2018,553,558.650024,545.099976,503.944885,8345712
2/15/2018,551.5,564.849976,551.5,511.61142,7986736
2/16/2018,562.5,570.825012,559.049988,517.854736,9889222
2/19/2018,564.200012,568,560.150024,519.553284,6461840
2/20/2018,551.875,574.75,551.875,521.940369,7188594
2/21/2018,573.75,575.950012,570,526.737793,13771358
2/22/2018,572.775024,582,570.224976,532.866333,17859974
2/23/2018,581.75,583,573.375,530.525085,9459828
2/26/2018,575.5,577.525024,567.174988,522.697937,5083608
2/27/2018,572.474976,576.825012,562.825012,528.023193,6616026
2/28/2018,573.799988,594.75,571.275024,538.306335,17268416
3/1/2018,584.799988,584.799988,578.025024,532.866333,6579852
3/5/2018,580.375,585.400024,571.625,530.639954,8101456
3/6/2018,581.275024,582.700012,571.799988,528.551025,6689734
3/7/2018,577.5,580,569.025024,525.222778,6370416
3/8/2018,574.5,582.900024,574.5,530.984192,6093014
3/9/2018,581.174988,583,577.775024,534.082825,4220964
3/12/2018,588,595.924988,585.875,544.34314,7676970
3/13/2018,590.099976,598.5,587.575012,543.447876,8581052
3/14/2018,590,595.299988,584.549988,542.070679,4429710
3/15/2018,590,594.200012,586,542.851135,6101500
3/16/2018,591,591.200012,584.625,537.984985,17954826
3/19/2018,582,590.25,571.325012,526.439331,7526620
3/20/2018,574.299988,585,574.299988,534.61084,8553766
3/21/2018,585,587.75,581.099976,535.965027,7692994
3/22/2018,582.25,588.724976,577.650024,533.118896,6813168
3/23/2018,573.5,586.900024,571.174988,536.010986,12008084
3/26/2018,583.450012,583.450012,572,530.341309,8930722
3/27/2018,580,580.650024,575.049988,529.7677,3802088
3/28/2018,575.375,575.375,563.125,519.576294,12558322
4/2/2018,570.5,574.775024,560.650024,522.032349,8072702
4/3/2018,567.349976,571.775024,564.049988,523.54718,4077168
4/4/2018,572,572.275024,560,516.087219,4813302
4/5/2018,569.775024,575.650024,564.549988,526.806641,7763544
4/6/2018,571.5,573,561.049988,517.372742,5937742
4/9/2018,562.5,562.900024,553.275024,510.142303,7202882
4/10/2018,556,562.25,552.700012,511.129272,8926058
4/11/2018,559,565.75,558.25,516.110291,9025574
4/12/2018,564.724976,586.375,562.5,533.715759,17044366
4/13/2018,587,592.950012,575.125,537.778442,21227038
4/16/2018,551,570,551,520.218933,24745084
4/17/2018,563.5,563.700012,557.5,516.546387,10397940
4/18/2018,561.424988,567.375,556.924988,516.890747,10430380
4/19/2018,562,569.900024,561.549988,520.058228,8525542
4/20/2018,569.5,596.849976,568.474976,540.991943,24272692
4/23/2018,584,607.200012,577.625,545.238281,21830638
4/24/2018,592.5,598.200012,575.049988,529.997192,8526216
4/25/2018,576,585.5,572.599976,532.682739,11594178
4/26/2018,587,590.825012,580,540.073792,11302084
4/27/2018,590,595.799988,587.099976,544.090637,7663370
4/30/2018,590.849976,603.974976,590.325012,550.655334,5511678
5/2/2018,599.450012,600.799988,590.5,549.530701,10295042
5/3/2018,598.625,602.349976,588.049988,542.874146,5332230
5/4/2018,592.5,593,577.5,538.535767,6023368
5/7/2018,590.625,595,587.75,543.080688,4638960
5/8/2018,588.950012,588.950012,580.525024,535.069946,5718556
5/9/2018,583.75,588.450012,581.5,537.434082,3783504
5/10/2018,588,591.5,581.424988,536.194641,3182862
5/11/2018,586.150024,591.599976,583.025024,542.047791,3311706
5/14/2018,592.174988,595.75,585,545.9729,4432094
5/15/2018,594.049988,604,594.049988,548.382996,5611974
5/16/2018,593.625,599,592.25,546.271179,6205004
5/17/2018,598,598.724976,586.775024,543.034729,9519598
5/18/2018,591.5,593.275024,586.5,543.172546,7139660
5/21/2018,589.775024,594.200012,585,541.473938,8475320
5/22/2018,587.5,599,586.950012,548.061584,5636804
5/23/2018,597.5,603.825012,590.75,543.952942,9538442
5/24/2018,599,613.775024,599,560.525452,9740570
5/25/2018,615.049988,624.325012,610.400024,563.876648,8901438
5/28/2018,615.5,616.299988,603,557.495544,5739794
5/29/2018,607.025024,613.275024,603.099976,558.551392,3388934
5/30/2018,608.5,614.375,602.799988,556.255981,6323066
5/31/2018,605.849976,621,605.125,565.483337,19720340
6/1/2018,615.200012,623.125,608.599976,560.433594,4998356
6/4/2018,610.549988,621.5,606,568.97229,4270156
6/5/2018,621,621,608.5,560.456482,4710862
6/6/2018,612.599976,620.775024,610.025024,568.077026,4038184
6/7/2018,619,629,619,574.963196,6676226
6/8/2018,624,631,623.025024,578.452087,6459878
6/11/2018,632.775024,635,627.525024,579.530823,5171290
6/12/2018,632.875,635.625,625.224976,577.740417,7839820
6/13/2018,633.400024,642,633.400024,585.223389,5766928
6/14/2018,626.5,626.5,617.049988,573.609497,7598848
6/15/2018,618.5,645.75,617.5,592.834778,19957760
6/18/2018,642,645.625,631.174988,586.426392,8214846
6/19/2018,631.5,631.700012,619.025024,574.488586,7545700
6/20/2018,624.25,626.174988,619,575.205933,5371802
6/21/2018,622.974976,628.25,618,576.779114,5798790
6/22/2018,621.5,627.75,620.599976,577.380615,4343118
6/25/2018,628.575012,639.400024,627,588.763,7731178
6/26/2018,634.5,641.950012,633.125,591.261597,4483504
6/27/2018,641.974976,646.724976,632.799988,587.629456,6952142
6/28/2018,638.150024,649,638.125,596.698364,10996818
6/29/2018,649.025024,657.5,641.625,604.841858,9966600
7/2/2018,657,670,657,617.566162,4830144
7/3/2018,665.950012,678.950012,665.875,626.380554,8127452
7/4/2018,676.025024,676.325012,669.424988,622.424438,5025722
7/5/2018,673.549988,673.625,634.049988,594.107178,17019902
7/6/2018,645.125,650.924988,634.5,594.222839,11215356
7/9/2018,648.5,651.5,639.525024,600.978333,6644998
7/10/2018,654.25,657.724976,647.150024,602.158264,5974488
7/11/2018,658.775024,671.049988,645.674988,610.972656,11899832
7/12/2018,663.049988,663.549988,642.224976,598.896179,13272240
7/13/2018,657.5,665.799988,649.174988,609.561401,19496158
7/16/2018,658.700012,692.200012,643.849976,616.710144,35344680
7/17/2018,664.849976,674.75,656.349976,614.4198,11161690
7/18/2018,669.900024,671.700012,657,611.944336,6919016
7/19/2018,661.5,665.950012,654.549988,609.237549,5118864
7/20/2018,663,683.575012,660.650024,623.766296,11705738
7/23/2018,676.075012,684,668.125,627.39856,7675702
7/24/2018,687.200012,691.200012,678,637.207825,6172246
